x	   E(x)	
44.885	   14.06867
44.932	   13.97626
44.979	   13.88366
45.026	   13.79089
45.073	   13.69822
45.120	   13.60516
45.167	   13.51196
45.214	   13.41863
45.261	   13.32545
45.308	   13.23191
45.355	   13.13829
45.402	   13.04458
45.449	   12.95108
45.496	   12.85724
45.543	   12.76337
45.590	   12.66946
45.637	   12.57580
45.684	   12.48185
45.731	   12.38792
45.778	   12.29399
45.825	   12.20007
45.872	   12.10647
45.919	   12.01265
45.966	   11.91888
46.013	   11.82517
46.060	   11.73180
46.107	   11.63827
46.154	   11.54484
46.201	   11.45152
46.248	   11.35856
46.295	   11.26550
46.342	   11.17258
46.389	   11.07982
46.436	   10.98744
46.483	   10.89501
46.530	   10.80278
46.577	   10.71074
46.624	   10.61890
46.671	   10.52748
46.718	   10.43609
46.765	   10.34494
46.812	   10.25403
46.859	   10.16354
46.906	   10.07316
46.953	    9.98305
47.000	    9.89323
